filename, language, JSON, YAML, Properties, XML, PHP, JavaScript, Markdown, CSS, SCSS, SVG, HTML, comment, blank, total
c:\laragon\www\cms\.editorconfig, Properties, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
c:\laragon\www\cms\.gitattributes, Properties, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
c:\laragon\www\cms\.styleci.yml, YAML, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
c:\laragon\www\cms\Modules\Lang\Config\config.php, PHP, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
c:\laragon\www\cms\Modules\Lang\Database\Migrations\2020_02_29_102556_create_langs_table.php, PHP, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 10, 4, 35
c:\laragon\www\cms\Modules\Lang\Database\Seeders\LangDatabaseSeeder.php, PHP, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 5, 22
c:\laragon\www\cms\Modules\Lang\Entities\Lang.php, PHP, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
c:\laragon\www\cms\Modules\Lang\Http\Controllers\LangController.php, PHP, 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 11, 30, 166
c:\laragon\www\cms\Modules\Lang\Http\Utilities\TableData.php, PHP, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 8, 2, 30
c:\laragon\www\cms\Modules\Lang\Providers\Hooks\categories.hooks.php, PHP, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 11, 40
c:\laragon\www\cms\Modules\Lang\Providers\Hooks\modules\portfolio.hooks.php, PHP, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
c:\laragon\www\cms\Modules\Lang\Providers\Hooks\modules\testimonials.hooks.php, PHP, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
c:\laragon\www\cms\Modules\Lang\Providers\Hooks\pages.hooks.php, PHP, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 2, 13, 52
c:\laragon\www\cms\Modules\Lang\Providers\Hooks\posts.hooks.php, PHP, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 4, 19, 89
c:\laragon\www\cms\Modules\Lang\Providers\LangServiceProvider.php, PHP, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 25, 102
c:\laragon\www\cms\Modules\Lang\Providers\RouteServiceProvider.php, PHP, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 31, 9, 70
c:\laragon\www\cms\Modules\Lang\Resources\assets\js\app.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\laragon\www\cms\Modules\Lang\Resources\views\create.blade.php, PHP, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 7, 67
c:\laragon\www\cms\Modules\Lang\Resources\views\delete.blade.php, PHP, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
c:\laragon\www\cms\Modules\Lang\Resources\views\edit.blade.php, PHP, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
c:\laragon\www\cms\Modules\Lang\Resources\views\index.blade.php, PHP, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
c:\laragon\www\cms\Modules\Lang\Resources\views\partials\categories\left.blade.php, PHP, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
c:\laragon\www\cms\Modules\Lang\Resources\views\partials\lang-switcher.blade.php, PHP, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 8, 37
c:\laragon\www\cms\Modules\Lang\Resources\views\partials\modules\portfolio\bottom.blade.php, PHP, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
c:\laragon\www\cms\Modules\Lang\Resources\views\partials\modules\portfolio\left.blade.php, PHP, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
c:\laragon\www\cms\Modules\Lang\Resources\views\partials\modules\portfolio\right.blade.php, PHP, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
